job_no,job_slug,salary_low_list,salary_high_list,desc_snippet,detail_fetched,job_name,cust_name,cust_url,appear_date,industry,employees,china_corp,job_description,job_category,salary,salary_min,salary_max,address_region,address_detail,landmark,need_emp,manage_resp,business_trip,work_shift,work_period_note,vacation_policy,start_working_day,accept_role,work_exp,edu,major,language,local_language,specialty,skill,certificate,driver_license,other_condition,group,desc_len,has_language,has_major,has_skill
14649639,8pzqf,29500,9999999,哥吉生技致力於開發醣生物學之試劑以用於基礎生科研究與臨床檢測醫材 。公司正處於從科研試劑市場升級至臨床檢測市場的快速成長階段 。在這個關鍵轉型期，我們邀請你參加哥吉生技的暑期實習計畫，你將參與 RD（研發）與 BD（商務開發）兩大核心部門工作。你,True,暑期實習生,哥吉生技股份有限公司,https://www.104.com.tw/company/1a2x6bkst2,2026/05/21,生化科技研發業,30人,False,"哥吉生技致力於開發醣生物學之試劑以用於基礎生科研究與臨床檢測醫材 。公司正處於從科研試劑市場升級至臨床檢測市場的快速成長階段 。在這個關鍵轉型期，我們邀請你參加哥吉生技的暑期實習計畫，你將參與 RD（研發）與 BD（商務開發）兩大核心部門工作。你將與跨部門同事共事並有一對一企業導師（Mentor），既能實際參與研發日常工作，又能探索市場分析與商務企劃推進 。歡迎參加這場「技術」與「市場」脈絡的職涯探索之旅 。

工作項目包含：
【商務開發部】
1. 參與中/英文自媒體內容從發想到製作，學習品牌內容實作經驗；如果你有不錯的點子歡迎向團隊討論提案。
2. 在團隊引導下，規劃並製作適合本公司不同社群平台及網站的中/英文資訊及圖表內容(infografics)。
協助公司官網與行銷中/英文內容更新。
3. 以7分鐘簡報形式每月分享生醫／醫材產業或商用生技空間趨勢，與團隊交流你的知識學習成果。
【研發部】
1. 細胞影像分析， 協助建立細胞影像資料庫（整理與分類影像檔案）。
2. 使用顯微鏡分析軟體進行細胞計數與螢光強度定量。
3. 製作實驗分析報告，將分析結果轉化為易懂的圖表，並在團隊會議中以 7 分鐘簡報形式分享你的發現或知識學習成果 。


我們希望你具備：
1. 對工作任務有責任感，有能力將想法一步步落實，並在時程內完成交付。
2. 具備良好的溝通協調能力與團隊合作精神。
3. 具備良好的資料組織與分類邏輯，能細心處理大量影像檔案。
4. 對生醫領域相關產業之媒體行銷與研究具備學習興趣與實作熱忱。


GlycoGenetics, Inc. is a research-centric biotechnology company with a keen focus on solving technological challenges in glycobiology. As we rapidly scale from the academic research market into the clinical diagnostics sector, we are seeking forward-thinking Summer Interns who can bridge the gap between science and business.
Our summer internship program offers a deep dive into two of our core pillars: Research & Development (R&D) and Business Development (BD). With one-on-one mentorship and immersive team environments, you will experience the pulse of laboratory innovation while actively participating in market analyses and business operations. This is more than just a summer job—it would be a career-defining journey designed to help you connect the dots between cutting-edge technology and market strategy.

Internship Tasks:
【BD】
1. Participate in social media contents in Chinese/ English from ideas to production while learning how brand content is created; pitch opportunities might be offered if you are up to it.
2. Create engaging social media posts (including infographics and podcasts) for different platforms in Chinese and English with GlycoGenetics, Inc. in-house guidance.
3. Support GlycoGenetics, Inc.’s official website and marketing updates in Chinese/ English.
4. Present in 7-minutes pitches the bio-/medtech industry or commercial bio-space trends and share monthly what you have discovered/ learned with the team.
【RD】
1. Cell Image Analysis & Database Management: Perform cell image analysis and assist in establishing a structured cell image database (including organizing and classifying image files).
2. Microscopy Quantification: Utilize microscopy analysis software to execute cell counting and fluorescence intensity quantification.
3. Data Visualization & Reporting: Prepare experimental analysis reports by transforming analytical results into clear, intuitive charts and graphs; deliver a concise 7-minute presentation during team meetings to share your findings or learning insights.


We're looking for:
1. Accountability & Execution: A strong sense of responsibility toward tasks, with the ability to translate ideas into actionable steps and complete deliverables on schedule.
2. Communication & Collaboration: Good communication skills with a collaborative team-player mindset.
3. Organizational Logic & Detail-Orientation: Strong logical skills in data organization and classification, with meticulous attention to detail when handling image files.
4. Scientific Mindset & Business Thinking: Possess a strong interest and learning enthusiasm for media marketing and research within the biomedical and related industries.","生物科技研發人員, 網站行銷企劃, 廣告文案／企劃","月薪29,500元以上",29500,9999999,桃園市大園區,,,1~2人,不需負擔管理責任,無需出差外派,日班,0900-1800,週休二日,不限,"應屆畢業生, 外籍人士, 學生實習",不拘,大學、碩士,"生物學相關, 醫學系相關, 醫學技術及檢驗相關",英文（聽:中等/說:中等/讀:中等/寫:中等）,,,"實驗室設備操作, 廣告企劃案╱文案撰寫, 網站企劃能力, 檢查及檢驗報告結果判讀",,,"外籍生：已取得在台畢業證書及延期居留之資格。
",basic,3330,1,1,1
12654111,7j7z3,40000,48000,"聯詠科技2026暑期實習計畫，提供您貢獻所學、學習成長的實習平台與成長機會。
誠摯歡迎您加入我們，和聯詠一起並肩打造智慧影像影響全視界！

◆ 上班時間為週一至週五8:30-17:30，週休二日。
◆ 實習計畫可配指導教授會議，依規定請假。
◆",True,【2026暑期實習】類比IC設計工程師,聯詠科技股份有限公司,https://www.104.com.tw/company/12nopku0,2026/05/18,半導體製造業,2700人,False,"聯詠科技2026暑期實習計畫，提供您貢獻所學、學習成長的實習平台與成長機會。
誠摯歡迎您加入我們，和聯詠一起並肩打造智慧影像影響全視界！

◆ 上班時間為週一至週五8:30-17:30，週休二日。
◆ 實習計畫可配指導教授會議，依規定請假。
◆ 每位實習生有專屬指導者共同參與專案性工作。
◆ 實習地點於新竹，外地同學享住宿補助。
◆ 實習期間表現優秀者，可優先參與聯詠正職預聘計畫。
◆ 申請條件：
 1. 碩博班等電資學院相關系所在學學生(含預碩生)。
 2. 應徵前，請先徵得指導教授同意參與暑期實習。
 3. 實習期間：2026暑期 (視各校本學期結束與下學期開學的期程而定)。
 4. 投遞104人力銀行暑期實習生職缺，於自傳中說明論文或專題研究方向，並檢附成績單；預碩生請於學歷欄註明碩士學歷。

◆ 職務說明：實習具體工作內容以面談時說明為主

【DDIC產品事業群】
 1. 驅動IC/觸控IC/電源IC 類比電路設計
 2. IP相關電路開發與設計，驗證及量產
 3. CIS相關類比電路設計工作

【SoC產品事業群】
 1. SRAM-based CIM論文與專利整理
 2. 基本類比 block 電路模擬與設計
 3. 實際project電路設計與Layout規劃, Layout完成後, 跑post-sim 確認最後結果

◆ 需求條件：
 1. 熟悉HSPICE、Matlab、Laker、Spectre、Simplis、Cadence Virtuoso
 2. 熟悉UNIX TCL/TK GUI圖形介面的建置,Spice的語法與電子電路相關基礎經驗者佳",類比IC設計工程師,"月薪40,000~48,000元",40000,48000,新竹市,創新一路1-2號 / 新竹縣竹北市台元二街9號,,10~15人,不需負擔管理責任,無需出差外派,日班,,依公司規定,不限,"日間就讀中, 學生實習",不拘,碩士以上,"電機電子工程相關, 資訊工程相關",,,,"模擬類比IC電路, 類比IC電路設計, 類比IC電路驗證, 類比電路設計",,,,high,693,0,1,1
15073913,8z33t,34000,34000,"1.參與自行開發之財會相關作業系統優化
2.參與使用者需求討論及協助程式撰寫並執行單元測試
3.提供系統流程優化反饋
",True,【2026暑期實習】作業系統優化(財務管理處),永豐金證券股份有限公司,https://www.104.com.tw/company/am935lk,2026/05/19,證券及期貨業,2600人,False,"1.參與自行開發之財會相關作業系統優化
2.參與使用者需求討論及協助程式撰寫並執行單元測試
3.提供系統流程優化反饋
","實習生／工讀生, 系統分析師","月薪34,000元",34000,34000,台北市中正區,,,1人,不需負擔管理責任,無需出差外派,日班,,依公司規定,不限,學生實習,不拘,碩士,,,,,,,,"我們期望您可以在永豐金證券感受到自己的專業與實力確實因實習而提升，也為未來進入職場預作準備。

如果您具備以下條件：
1.資工或財金研究所，對程式設計有興趣者。
2.具備SQL 與VBA,C#程式語言撰寫能力。


歡迎您來申請我們的暑期實習計劃。
",high,59,0,0,0
15069853,8yzz1,32000,32000,"☆遠傳暑期實習生計劃開跑！招募潛力新星☆
兩個月期間將有部門主管及前輩帶領你深入真實職場，一同參與部門日常任務與專案，培養未來工作中的軟硬實力。在實習結業發表將你的想法化為實際成果，讓你盡情揮灑創意！
歡迎加入遠傳暑期實習計畫，提升自我競爭力、激",True,【2026暑期實習】永續發展(ESG)實習生,遠傳電信股份有限公司,https://www.104.com.tw/company/18n64g34,2026/05/22,電信相關業,5500人,False,"☆遠傳暑期實習生計劃開跑！招募潛力新星☆
兩個月期間將有部門主管及前輩帶領你深入真實職場，一同參與部門日常任務與專案，培養未來工作中的軟硬實力。在實習結業發表將你的想法化為實際成果，讓你盡情揮灑創意！
歡迎加入遠傳暑期實習計畫，提升自我競爭力、激發你的無限潛能，讓未來更加值！
▲ 實習模式：專業實務參與 + 企業導師制 + 成果發表會
▲ 實習期間：2026/7/1~2026/8/31，週一至週五全天實習
▲ 應徵資格：升大三~碩二，9月後仍具有在學身份，需檢附在學成績單
▲ 應徵時限：即日起至2026/05/08

▲ 職缺內容：
協助ESG專案的行銷企劃、活動推展及行政事務，透過這份實習工作將可習得: 
1. 了解國際ESG發展大趨勢
2. 結合遠傳電信技術推動ESG
3. 熟悉ESG參獎及評鑑重點
4. 掌握電信及資通訊產業前景及發展

《想了解更多實習生的心聲嗎？帶你一窺遠傳精彩且豐富的實習生活》
※ Part 1／為什麼選擇到遠傳實習
https://youtu.be/rS-DFqDPSyo?si=ei2iSgRAOMl2SGBn
※ Part 2／遠傳實習的收穫
https://youtu.be/LW0anbhw8I0?si=EjdK4k3ivuxnBuv2
※ 實習同學經驗分享
https://erecruit.fareastone.com.tw/zh_TW/web/guest/-1",實習生／工讀生,"月薪32,000元",32000,32000,台北市內湖區,瑞光路468號,距捷運西湖站約500公尺,2人,不需負擔管理責任,無需出差外派,日班,09:00-18:00,週休二日,不限,"日間就讀中, 學生實習",不拘,大學、碩士,"企業管理相關, 環境工程相關",英文（聽:中等/說:中等/讀:精通/寫:精通）,,,,,,"【需求條件】
1. 英文讀寫能力
2. 具備ESG基本知識
3. 有文案撰寫或活動企劃經驗",high,608,1,1,0
15070988,8z0uk,0,0,"【2026暑期實習計畫】
實習期間：2026/06/29~2026/08/28

【實習工作內容】
協助戲劇企劃案製作、日常文書工作等及協助戲劇拍攝行政庶務：
1. 製作戲劇相關簡報
2. 戲劇相關文案或日常文書工作(整理故事綱及分集綱、跑馬)",True,【2026暑期實習計畫】戲劇企劃實習生,TVBS_聯利媒體股份有限公司,https://www.104.com.tw/company/12q975sw,2026/05/19,電視業,1400人,False,"【2026暑期實習計畫】
實習期間：2026/06/29~2026/08/28

【實習工作內容】
協助戲劇企劃案製作、日常文書工作等及協助戲劇拍攝行政庶務：
1. 製作戲劇相關簡報
2. 戲劇相關文案或日常文書工作(整理故事綱及分集綱、跑馬)
3. 參與劇本會議協助記錄、追踪事項及進度等行政庶務
4. 戲劇拍攝前中後期行政庶務
5. 參與戲劇社群的宣傳影音設計/規劃/拍攝/製作
6. 戲劇社群貼文設計/規劃
7. 宣傳短影音剪輯

【**此為暑期實習計畫，不適用公司正職福利制度**】",節目助理,論件計酬0元,0,0,台北市內湖區,瑞光路451號,距捷運西湖站約450公尺,1~2人,,,日班,09:00-18:00,依公司規定,一個月內,學生實習,不拘,專科以上,,,,,,,,"1. 認真負責、積極性高、細心、反應力快
2. 有機車or汽車尤佳",piecerate,245,0,0,0
13882696,89jyg,0,0,"1.頻道運作相關事宜(含節目驗審片、預告剪輯等)
2.YT頻道相關(含封面製作、影片剪輯等)
【請完整填寫個人履歷、提供相關個人作品，如若履歷填寫不全則不率取】",True,暑期實習生(節目部 企劃組),八大電視股份有限公司,https://www.104.com.tw/company/18ryaj9c,2026/05/22,電視業,320人,False,"1.頻道運作相關事宜(含節目驗審片、預告剪輯等)
2.YT頻道相關(含封面製作、影片剪輯等)
【請完整填寫個人履歷、提供相關個人作品，如若履歷填寫不全則不率取】","影片製作技術人員, 節目製作人員",論件計酬0元,0,0,台北市內湖區,瑞光路455號,距捷運西湖站約420公尺,1人,,,日班,0900-1800,依公司規定,不限,學生實習,不拘,大學,"廣播電視相關, 大眾傳播學相關",,,"Excel, PowerPoint, Premiere, Adobe Photoshop","各式影片剪接後製作業, 執行影片拍攝作業, 多媒體影像處理",,,"實習期間:7/1~7/31(*為期一個月*)
須具備基本文書處理",piecerate,80,0,1,1
14521334,8n8qe,30000,30000,"嚮往藥廠工作但不清楚藥廠生態嗎？
加入暑期實習計畫，讓您實際體驗藥廠職場生活！

【實習資訊】
1. 實習期間： 2026/7/1-2026/8/31
2. 報名對象：藥學系學生(含應屆畢業)

【職務內容】
主要協助醫藥暨法規單位執行下述業務：",True,SY11505_醫藥暨法規處 暑期實習生,健喬信元醫藥生技股份有限公司,https://www.104.com.tw/company/jug4ur4,2026/05/20,藥品製造業,1000人,False,"嚮往藥廠工作但不清楚藥廠生態嗎？
加入暑期實習計畫，讓您實際體驗藥廠職場生活！

【實習資訊】
1. 實習期間： 2026/7/1-2026/8/31
2. 報名對象：藥學系學生(含應屆畢業)

【職務內容】
主要協助醫藥暨法規單位執行下述業務：
1. TFDA &CDE送件、公證人、外交部、大使館實際送件
2. 藥物安全教育訓練，不良反應通報實作 
3. 行政類上市後變更實作

【其他事項】
*需配合全天上班 (09:00~18:00)
*實習表現優異者有優先列入集團儲備幹部計畫人選與就業機會；若後續有至集團任一單位任職，實習期間工資照算，年資累計。
*此為暑期實習計畫，不適用公司正職福利制度","藥師, 其他醫療人員","月薪30,000元",30000,30000,台北市內湖區,內湖路一段396號11樓,距捷運港墘站約190公尺,1~2人,不需負擔管理責任,無需出差外派,日班,09:00~18:00,依公司規定,不限,"應屆畢業生, 學生實習",不拘,大學以上,藥學相關,,,Word,,,,,basic,301,0,1,0
15069781,8yzx1,32000,32000,"☆遠傳暑期實習生計劃開跑！招募潛力新星☆
兩個月期間將有部門主管及前輩帶領你深入真實職場，一同參與部門日常任務與專案，培養未來工作中的軟硬實力。在實習結業發表將你的想法化為實際成果，讓你盡情揮灑創意！
歡迎加入遠傳暑期實習計畫，提升自我競爭力、激",True,【2026暑期實習】基地台數位分身技術應用實習生(高雄市),遠傳電信股份有限公司,https://www.104.com.tw/company/18n64g34,2026/05/19,電信相關業,5500人,False,"☆遠傳暑期實習生計劃開跑！招募潛力新星☆
兩個月期間將有部門主管及前輩帶領你深入真實職場，一同參與部門日常任務與專案，培養未來工作中的軟硬實力。在實習結業發表將你的想法化為實際成果，讓你盡情揮灑創意！
歡迎加入遠傳暑期實習計畫，提升自我競爭力、激發你的無限潛能，讓未來更加值！
▲ 實習模式：專業實務參與 + 企業導師制 + 成果發表會
▲ 實習期間：2026/7/1~2026/8/31，週一至週五全天實習
▲ 應徵資格：升大三~碩二，9月後仍具有在學身份，需檢附在學成績單
▲ 應徵時限：即日起至2026/05/08

▲ 職缺內容：
基地台數位分身是結合無人機、光達、3D建模、人工智慧等，建立標準的基地台建築資訊模型虛擬物件，將實體數位化。
本計畫培養和發掘對基地台的數位分身有興趣的人才，提供實作經驗和專業指導，作為學校課程理論的實踐。
工作內容：
1. 基地台相關設施基本操作與維護。
2. 基地台數位化數據收集、分析與 3D 建模。
3. 基地台管理與技術文檔編寫。

《想了解更多實習生的心聲嗎？帶你一窺遠傳精彩且豐富的實習生活》
※ Part 1／為什麼選擇到遠傳實習
https://youtu.be/rS-DFqDPSyo?si=ei2iSgRAOMl2SGBn
※ Part 2／遠傳實習的收穫
https://youtu.be/LW0anbhw8I0?si=EjdK4k3ivuxnBuv2
※ 實習同學經驗分享
https://erecruit.fareastone.com.tw/zh_TW/web/guest/-1",實習生／工讀生,"月薪32,000元",32000,32000,高雄市前鎮區,新生路248-6號,,2人,不需負擔管理責任,無需出差外派,日班,09:00-18:00,週休二日,不限,"日間就讀中, 學生實習",不拘,大學、碩士,,英文（聽:中等/說:中等/讀:精通/寫:精通）,,,,,,"【需求條件】
1.善於學習並操作3C產品/工具
2.對通訊網路有興趣",high,673,1,0,0
14491473,8mlox,29500,35000,"Management Associate Programme）」，或獲得正職錄用資格。

▲一般暑期實習計畫（General Internship）▲則開放給所有年級的學碩士生，提供深入了解金融業的機會。實習生將參與部門日常業務，強化專業知識，並接觸",True,(已截止) 2026 星展暑期實習計畫開跑，解鎖你的金融潛力！,星展(台灣)商業銀行股份有限公司,https://www.104.com.tw/company/oct97rc,2026/05/20,銀行業,5000人,False,"投遞連結: https://dbs.wd3.myworkdayjobs.com/en-US/DBS_Careers/job/XMLNAME-2026-DBS-Taiwan-Summer-Internship-Programme_26000021?locationCountry=a4e08b475d6a4176853c9d1cb9854e02

．報名期間： 即日起至 2026/4/6止
．面試階段： 2026/4 - 2026/5 (TBD)
．實習期間： 2026/6/29 - 2026/8/28 (完整9周)

-----------------------------------------------------------------------------------
想親身體驗頂尖外商銀行的運作？想站在金融 × 科技 × 永續的交叉點，探索你的無限可能？
我們正在尋找最有潛力的Summer Intern，歡迎國內外大學及研究所在校生（不限學科背景與工作經歷），與我們一起深入探索星展文化與核心業務！
 
雙軌實習，量身打造你的職涯進階路徑
▲專案式實習計畫（Structured Internship）▲為即將進入學士或碩士最後一學年的學生設計，實習生將深入參與真實專案的規劃與執行，從需求分析、策略討論到落地實作，培養跨部門協作能力與實務問題解決能力。表現優異者，更有機會於畢業後直接銜接「星展儲備幹部計畫（Management Associate Programme）」，或獲得正職錄用資格。

▲一般暑期實習計畫（General Internship）▲則開放給所有年級的學碩士生，提供深入了解金融業的機會。實習生將參與部門日常業務，強化專業知識，並接觸金融產業的多元樣貌。表現優異者，未來有機會加入星展並成為正式職員，為金融職涯奠定基礎。


【實習機會】
    ．Consumer Banking Group 消費金融處 (SI)
    ．Group Operations 營運管理處 (SI、GI)
    ．Group Finance 財務企劃處 (SI)
    ．Institutional Banking Group 企業及機構銀行處 (GI)
    ．Global Transaction Services 環球金融交易服務處 (GI)
    ．Global Financial Markets 環球金融市場處 (GI)
    ．Group Marketing & Communication 集團推廣策略暨傳訊處 (GI)
    ．Group Audit 稽核處  (GI)
    ．Human Resources 人力資源處  (GI)
    ．Risk Management Group 風險控管處  (GI)
    ．Transformation, Data, Strategy and Planning 策略轉型暨數據處 (GI)
    ．Technology 資訊處 (GI)

※實習的實際職缺與詳細內容在您與我們的 AI 聊天機器人 JIM chat-bot AI 互動時提供，JIM 聯結將於完成投遞後2小時內寄送至您的信箱
※此外，在與 JIM 互動時，務必填寫您感興趣職位的實習代碼，填寫錯誤或不完整的實習代碼將不被接受。

【資格條件】：
．國內外大學及研究所在校生（不限學科背景與工作經歷）及應屆畢業之新鮮人
．對金融、科技、專案管理、數據分析有興趣者
．積極主動、善於團隊合作，並喜歡在不斷變化且具挑戰的工作環境當中
．2026 年 7 月能正式入職的畢業生優先

【招募時程】：
．報名期間： 即日起至 2026/4/6
．面試階段： 2026/4 - 2026/5 (TBD)
．實習期間： 2026/6/29 - 2026/8/28 (完整9周)
※「星展暑期實習計畫」委由人事顧問公司執行招募聘僱事宜


【線上說明會】：03/12 (四) 18:00~19:00
RSVP: https://www.surveycake.com/s/0bem0
【實體校園活動時程】：
． 03/16 (一) 18:00~19:00 台灣大學 企業說明會(集思會議中心-蘇格拉底廳)
台大場報名連結: https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_01&sesID=30
． 03/25 (三) 12:00~13:00 東吳大學 企業說明會 (城中校區 游藝廣場)
． 03/26 (四) 19:00~19:50 政治大學 企業說明會(商學院 玉山國際會議廳)
政大報名連結: https://moltke.nccu.edu.tw/Registration/registration.do?action=conferenceInfo&conferenceID=X25897
． 03/31 (二) 12:20~13:20 臺北商業大學 企業說明會 (行政大樓)

【 其他活動】：
．03/17 (二) 19:00~21:00 星展x政治大學 面試技巧講座 - 人資長的選才實務與未來人才發展趨勢 ｜人資長 朱麗文 主講

以上活動快上各校網站報名，別錯過與星展互動的機會，還有滿滿的職涯資訊與建議等著你！","銀行辦事員, 金融營業員, 金融交易員","月薪29,500~35,000元",29500,35000,台北市內湖區,依實習單位而定,,1~50人,不需負擔管理責任,無需出差外派,日班,,週休二日,不限,"日間就讀中, 學生實習",不拘,專科、大學、碩士,,英文（聽:精通/說:精通/讀:精通/寫:精通）,,,,,,"應徵資格：
．專案式實習計畫 (Structured Internship) ：預計於 2027年完成學業之在學生，且能於 2026 年 7 月入職者。
．一般暑期實習計畫 (General Internship) ：各大專院校（含學士與碩士班）之在學生。",basic,2241,1,0,0
15191159,91lkn,33000,9999999,"1.暑期實習生，固定班別做二休二(有加班)，不用輪班。
2.專人一對一指導，無經驗可。
3.久坐手工作業。

面談時間：週一至週五
09:00AM~11:00AM / 13:30PM~17:00PM
◆◆◆隨到隨談◆◆◆
",True,暑期實習生(楊梅廠),信昌電子陶瓷股份有限公司,https://www.104.com.tw/company/auzfx5c,2026/05/22,其他電子零組件相關業,700人,False,"1.暑期實習生，固定班別做二休二(有加班)，不用輪班。
2.專人一對一指導，無經驗可。
3.久坐手工作業。

面談時間：週一至週五
09:00AM~11:00AM / 13:30PM~17:00PM
◆◆◆隨到隨談◆◆◆
","作業員／包裝員, 其他機械操作員","月薪33,000元以上",33000,9999999,桃園市楊梅區,高獅路566-1號,,不限,不需負擔管理責任,無需出差外派,日班,,依公司規定,不限,"應屆畢業生, 夜間就讀中",不拘,高中、專科、大學,,,,,,,,不限學歷，歡迎進修部科技大學實習生，科技大學畢業生，有志從基層歷練之人員加入本職務。,high,111,0,0,0
