類別：所有類別

週,護理之家: (台灣),看護: (台灣),喘息服務: (台灣),輔具: (台灣)
2021-03-14,51,26,2,16
2021-03-21,54,30,2,13
2021-03-28,46,26,2,13
2021-04-04,48,26,1,14
2021-04-11,53,27,1,16
2021-04-18,48,28,3,17
2021-04-25,47,23,2,14
2021-05-02,51,28,2,21
2021-05-09,53,25,0,16
2021-05-16,37,20,1,10
2021-05-23,37,19,0,12
2021-05-30,36,20,1,9
2021-06-06,36,19,0,10
2021-06-13,41,18,0,9
2021-06-20,100,19,1,10
2021-06-27,42,40,1,10
2021-07-04,39,37,1,10
2021-07-11,41,28,1,10
2021-07-18,43,24,1,11
2021-07-25,45,24,2,9
2021-08-01,39,23,1,12
2021-08-08,47,27,2,12
2021-08-15,46,26,2,13
2021-08-22,44,28,0,11
2021-08-29,48,25,2,13
2021-09-05,46,28,1,14
2021-09-12,45,27,3,12
2021-09-19,44,25,1,9
2021-09-26,45,24,1,12
2021-10-03,50,27,1,13
2021-10-10,44,26,0,12
2021-10-17,46,24,1,13
2021-10-24,45,27,2,12
2021-10-31,46,28,2,16
2021-11-07,43,27,2,15
2021-11-14,48,30,2,13
2021-11-21,47,28,2,15
2021-11-28,47,25,1,13
2021-12-05,48,27,2,13
2021-12-12,63,31,2,16
2021-12-19,49,30,2,14
2021-12-26,44,29,2,14
2022-01-02,49,26,2,17
2022-01-09,42,26,3,15
2022-01-16,41,24,2,14
2022-01-23,40,20,1,15
2022-01-30,28,20,0,7
2022-02-06,46,28,3,16
2022-02-13,48,28,2,19
2022-02-20,45,28,2,17
2022-02-27,44,26,2,17
2022-03-06,47,28,2,17
2022-03-13,43,27,2,18
2022-03-20,44,30,3,16
2022-03-27,45,26,2,16
2022-04-03,44,27,1,14
2022-04-10,43,26,2,18
2022-04-17,43,24,2,18
2022-04-24,39,24,1,15
2022-05-01,45,25,1,15
2022-05-08,41,26,1,15
2022-05-15,39,26,1,14
2022-05-22,36,26,1,14
2022-05-29,37,30,2,12
2022-06-05,40,28,1,14
2022-06-12,41,29,2,15
2022-06-19,43,30,2,15
2022-06-26,44,24,2,15
2022-07-03,44,27,2,15
2022-07-10,44,30,3,17
2022-07-17,42,27,2,17
2022-07-24,43,27,2,17
2022-07-31,44,29,2,22
2022-08-07,47,32,2,18
2022-08-14,45,32,3,16
2022-08-21,45,29,2,17
2022-08-28,42,28,2,16
2022-09-04,39,27,2,15
2022-09-11,44,28,2,17
2022-09-18,50,29,2,18
2022-09-25,43,28,3,16
2022-10-02,45,28,2,18
2022-10-09,43,28,2,15
2022-10-16,44,28,2,18
2022-10-23,42,31,3,17
2022-10-30,46,30,3,17
2022-11-06,41,30,2,18
2022-11-13,42,28,2,17
2022-11-20,39,26,3,16
2022-11-27,41,24,2,15
2022-12-04,39,28,3,16
2022-12-11,42,29,2,18
2022-12-18,41,25,2,16
2022-12-25,42,32,2,17
2023-01-01,44,30,3,18
2023-01-08,45,28,2,18
2023-01-15,40,25,2,16
2023-01-22,32,26,2,8
2023-01-29,47,31,3,17
2023-02-05,46,31,3,16
2023-02-12,48,30,3,20
2023-02-19,45,31,4,18
2023-02-26,42,28,2,16
2023-03-05,44,27,2,19
2023-03-12,45,28,3,18
2023-03-19,44,28,3,19
2023-03-26,42,27,2,19
2023-04-02,39,25,2,15
2023-04-09,43,29,3,19
2023-04-16,43,30,3,19
2023-04-23,43,26,3,21
2023-04-30,47,27,3,24
2023-05-07,43,30,2,19
2023-05-14,45,29,3,19
2023-05-21,41,30,3,19
2023-05-28,43,27,3,17
2023-06-04,40,28,2,17
2023-06-11,43,27,3,18
2023-06-18,42,25,2,13
2023-06-25,43,28,2,19
2023-07-02,43,28,2,18
2023-07-09,46,25,2,18
2023-07-16,43,29,4,18
2023-07-23,40,24,2,15
2023-07-30,43,25,2,16
2023-08-06,43,27,2,17
2023-08-13,45,27,2,16
2023-08-20,47,25,3,17
2023-08-27,45,27,2,14
2023-09-03,42,24,2,17
2023-09-10,37,32,2,20
2023-09-17,45,26,3,19
2023-09-24,43,26,2,16
2023-10-01,40,26,3,16
2023-10-08,42,27,3,15
2023-10-15,45,29,2,16
2023-10-22,46,28,2,18
2023-10-29,46,26,2,20
2023-11-05,46,28,3,20
2023-11-12,39,28,3,20
2023-11-19,44,26,3,18
2023-11-26,39,25,2,17
2023-12-03,44,27,2,18
2023-12-10,39,28,2,18
2023-12-17,39,27,2,17
2023-12-24,39,26,3,18
2023-12-31,36,25,3,17
2024-01-07,38,25,2,16
2024-01-14,40,28,2,17
2024-01-21,39,27,3,17
2024-01-28,38,27,2,19
2024-02-04,35,23,1,12
2024-02-11,36,28,2,13
2024-02-18,46,27,3,19
2024-02-25,39,28,2,18
2024-03-03,44,28,2,21
