"產地","主旨","原因","進口商名稱","進口商地址","貨品分類號列","檢驗方法","不合格原因暨檢出量詳細說明","法規限量標準","製造廠或出口商名稱","製造商代碼","牌名","重量","處置情形","發布日期","報驗受理日期","附圖"
"中國大陸","奶油刮刀","容器具-溶出試驗不符規定","金樂客餐飲國際有限公司","高雄市三民區中原街89號","3924.10.00.90-6","衛生福利部107年9月17日衛授食字第1071901787號公告修正「食品器具、容器、包裝檢驗方法-聚丙烯塑膠類之檢驗(MOHWU0007.03)」","案內產品以4%醋酸(95℃，30分鐘)、正庚烷(25℃，60分鐘)溶出試驗結果，蒸發殘渣值76 ppm、4746 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為原料之塑膠類其溶出試驗4%醋酸(95℃，30分鐘)、正庚烷(25℃，60分鐘)合格標準皆為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","肇庆高新区强宏塑料模具有限公司","","","16.00 PCE(1.76 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/11/30","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207191406129"
"智利","紅櫻桃","農藥殘留含量不符規定","啟照企業股份有限公司","高雄市路竹區中山路236號","0809.29.00.00-0","衛生福利部108.05.10衛授食字第1081900612號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥賽安勃0.01 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","GIDDINGS CERASUS S.A.","","","220.00 CTN(1,100.00 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/12/01","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207322097444"
"智利","鮮白櫻桃","農藥殘留含量不符規定","宇鮮有限公司","新北市三重區中正北路118巷17號1樓","0809.29.00.00-0","衛生福利部108.05.10衛授食字第1081900612號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥賽安勃0.04 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","TUNICHE FRUITS LTDA","","TUNICHE","512.00 CTN(1,126.40 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/12/02","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207444861838"
"日本","鮮草莓","農藥殘留含量不符規定","川咏水果有限公司","新北市中和區建八路152巷10號2樓","0810.10.00.00-8","衛生福利部108.05.10衛授食字第1081900612號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥賽安勃0.06 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","RICCO CO.,LTD","佐賀                                                                                                                                                                                                    ","","150.00 CAS(75.00 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/11/29","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207577842807"
"日本","鮮草莓","農藥殘留含量不符規定","川咏水果有限公司","新北市中和區建八路152巷10號1樓","0810.10.00.00-8","衛生福利部108.05.10衛授食字第1081900612號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥賽安勃0.33 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","RICCO CO.,LTD","佐賀                                                                                                                                                                                                    ","","100.00 CAS(50.00 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/12/01","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207696874622"
"日本","鮮草莓","農藥殘留含量不符規定","川咏水果有限公司","新北市中和區建八路152巷10號2樓","0810.10.00.00-8","衛生福利部108.05.10衛授食字第1081900612號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥氟尼胺0.34 ppm","依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","RICCO CO.,LTD","奈良                                                                                                                                                                                                    ","","66.00 CAS(35.60 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/12/02","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207848893616"
"日本","鮮草莓","農藥殘留含量不符規定","川咏水果有限公司","新北市中和區建八路152巷10號2樓","0810.10.00.00-8","衛生福利部108.05.10衛授食字第1081900612號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥氟尼胺0.36 ppm","依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","RICCO CO.,LTD","熊本                                                                                                                                                                                                    ","","448.00 CAS(224.00 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/12/03","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207989484590"
"法國","洛克福藍紋乾酪","微生物含量不符規定","聯馥食品股份有限公司","臺北市北投區中央北路4段515巷28號3樓","0406.40.00.00-2","衛生福利部110.10.6部授食字第1101902155號公告修正「食品微生物之檢驗方法-大腸桿菌之檢驗(MOHWM0023.02)」","檢出大腸桿菌1100 MPN/g、240 MPN/g、1100 MPN/g、 1100 MPN/g、1100 MPN/g","依據「食品中微生物衛生標準」，大腸桿菌於乾酪類之檢驗結果判定，5個樣品中，允許有≦2個樣品之微生物檢驗值介於10 MPN/g(mL)和100 MPN/g(mL)之間，但不得有任何一個樣品之檢驗值＞100 MPN/g(mL)，本案不符合食品安全衛生管理法第17條規定。","SOCIETE AFFINAGE - CONDITIONNEMENT","FR 12.203.018 CE                                                                                                                                                                                        ","SOCIETE","2.00 KGM(2.00 )","案內不符合商品依規定退運或銷毀。","2023/08/29","2023/07/29","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638288980151341935"
"越南","糙米","農藥殘留含量不符規定","泉順食品企業股份有限公司","苗栗縣苑裡鎮玉田里7鄰玉田91之1號","1006.20.00.00-8","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥巴克素0.03 ppm","依據「農藥殘留容許量標準」，農藥巴克素定量極限為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。","TUONGLAN AGREX CO.,LTD.","TNAXCO                                                                                                                                                                                                  ","","360.00 TNE(360,000.00 )","案內不符合商品依規定退運或銷毀。","2023/08/29","2023/08/01","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638288993829853855"
"塞席爾","冷凍紅皮刀","重金屬含量不符規定","三國水產貿易有限公司","屏東縣琉球鄉漁福村本漁路21巷71-7號","0303.89.89.90-3","106年8月31日衛授食字第1061901672號公告「食品中甲基汞檢驗方法(三)(MOHWH0018.00)」","檢出重金屬甲基汞0.8 mg/kg","依據「食品中污染物質及毒素衛生標準」，甲基汞(其他魚類)限量為0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。","ABUNDANT TRADING LTD","","","200.00 KGM(200.00 )","案內不符合商品依規定退運或銷毀。","2023/08/29","2023/08/03","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638288993902915810"
