"年度","月份區間","分類","檢體名稱","農藥殘留量","抽樣衛生局","抽樣地點"
"114","9~10","小葉菜類","青江菜","合格","雲林縣","保證責任雲林縣大北園果菜生產合作社/雲林縣二崙鄉尖厝崙5號"
"114","9~10","小葉菜類","油菜","合格","雲林縣","漢光農業生技股份有限公司/雲林縣西螺鎮新安里振安路98號"
"114","9~10","小葉菜類","油菜","合格","雲林縣","漢光農業生技股份有限公司/雲林縣西螺鎮新安里振安路98號"
"114","9~10","小葉菜類","青江菜","合格","雲林縣","漢光農業生技股份有限公司/雲林縣西螺鎮新安里振安路98號"
"114","9~10","小葉菜類","青江菜","合格","雲林縣","漢光農業生技股份有限公司/雲林縣西螺鎮新安里振安路98號"
"114","9~10","小葉菜類","空心菜","合格","雲林縣","漢光農業生技股份有限公司/雲林縣西螺鎮新安里振安路98號"
"114","9~10","小葉菜類","空心菜","合格","雲林縣","漢光農業生技股份有限公司/雲林縣西螺鎮新安里振安路98號"
"114","9~10","小葉菜類","九層塔","合格","雲林縣","雲林縣新豐蔬菜生產合作社/雲林縣西螺鎮新豐里264號"
"114","9~10","小葉菜類","地瓜葉","合格","雲林縣","雲林縣新豐蔬菜生產合作社/雲林縣西螺鎮新豐里264號"
"114","9~10","小葉菜類","皇宮菜","合格","雲林縣","雲林縣新豐蔬菜生產合作社/雲林縣西螺鎮新豐里264號"
"114","9~10","小葉菜類","空心菜","合格","雲林縣","和心果菜生產合作社/雲林縣西螺鎮詔安里37-1號1樓"
"114","9~10","小葉菜類","莧菜","合格","雲林縣","和心果菜生產合作社/雲林縣西螺鎮詔安里37-1號1樓"
"114","9~10","小葉菜類","油菜","合格","雲林縣","和心果菜生產合作社/雲林縣西螺鎮詔安里37-1號1樓"
"114","9~10","小葉菜類","小白菜","合格","雲林縣","和心果菜生產合作社/雲林縣西螺鎮詔安里37-1號1樓"
"114","9~10","小葉菜類","小松菜","合格","雲林縣","和心果菜生產合作社/雲林縣西螺鎮詔安里37-1號1樓"
"114","9~10","小葉菜類","青江菜","合格","雲林縣","和心果菜生產合作社/雲林縣西螺鎮詔安里37-1號1樓"
"114","9~10","小葉菜類","莧菜","合格","雲林縣","健心農產流通股份有限公司/雲林縣西螺鎮市場北路258號"
"114","9~10","小葉菜類","紅鳳菜","合格","嘉義縣","根嶺網有限公司(網購平台)/新北市三重區五華街93巷93號"
"114","9~10","小葉菜類","蘿美","合格","嘉義縣","全聯實業股份有限公司嘉義竹崎分公司/嘉義縣竹崎鄉竹崎村中華路106號"
"114","9~10","小葉菜類","紅鳳菜","合格","嘉義縣","根嶺網有限公司(網購平台)/新北市三重區五華街93巷93號"
"114","9~10","小葉菜類","西洋芹菜","合格","嘉義市","全聯實業股份有限公司嘉義民國分公司/嘉義市東區民國路30號"
"114","9~10","小葉菜類","履歷青江","合格","嘉義市","全聯實業股份有限公司嘉義民國分公司/嘉義市東區民國路30號"
"114","9~10","小葉菜類","小松菜","合格","嘉義市","豐富家實業有限公司/嘉義市西區青年街135號1樓"
"114","9~10","小葉菜類","荷葉白菜","合格","嘉義市","豐富家實業有限公司/嘉義市西區青年街135號1樓"
"114","9~10","小葉菜類","黑葉白菜","合格","嘉義市","豐富家實業有限公司/嘉義市西區青年街135號1樓"
"114","9~10","小葉菜類","選鮮青江","合格","嘉義市","統康生活事業股份有限公司德明分公司/嘉義市西區德明路128號、130號、132號"
"114","9~10","小葉菜類","有機黑葉白菜","合格","嘉義市","保證責任嘉義市嘉全果菜生產合作社/嘉義市東區林森東路367-45號"
"114","9~10","小葉菜類","有機荷葉白菜","合格","嘉義市","保證責任嘉義市嘉全果菜生產合作社/嘉義市東區林森東路367-45號"
"114","9~10","小葉菜類","有機空心菜","合格","嘉義市","保證責任嘉義市嘉全果菜生產合作社/嘉義市東區林森東路367-45號"
"114","9~10","小葉菜類","有機青油菜","合格","嘉義市","里仁嘉義中山店/嘉義市西區中山路475號"
"114","9~10","小葉菜類","有機白莧菜","合格","嘉義市","里仁嘉義中山店/嘉義市西區中山路475號"
"114","9~10","小葉菜類","有機小白菜","合格","臺南市","時生農業股份有限公司/臺南市官田區裕農路192號"
"114","9~10","小葉菜類","有機青江菜","合格","臺南市","康是美藥局和緯店/臺南市北區和緯路二段238號1樓"
"114","9~10","小葉菜類","蘿美","合格","高雄市","全聯實業股份有限公司三民十全三分公司/高雄市三民區德西里十全三路61、63號1樓"
"114","9~10","小葉菜類","油菜","合格","高雄市","這一小鍋高雄義享店/高雄市鼓山區大順一路115號A館B2樓"
"114","9~10","小葉菜類","冷凍生青蔥","合格","宜蘭縣","誠新實業有限公司(網購平台)/彰化縣田中鎮北路里中山街337號"
"114","9~10","小葉菜類","紅杏菜","合格","宜蘭縣","金是金股份有限公司/宜蘭縣員山鄉永同路三段20號"
"114","9~10","小葉菜類","白杏菜","合格","宜蘭縣","金是金股份有限公司/宜蘭縣員山鄉永同路三段20號"
"114","9~10","小葉菜類","芥藍菜","合格","宜蘭縣","中年大叔食品有限公司(網購平台)/新北市三重區自強路三段87巷8號3樓"
"114","9~10","小葉菜類","紅菜","合格","宜蘭縣","中年大叔食品有限公司(網購平台)/新北市三重區自強路三段87巷8號3樓"
"114","9~10","小葉菜類","紅鳳菜","合格","宜蘭縣","全聯實業股份有限公司羅東純精分公司/宜蘭縣羅東鎮純精路2段230號1樓"
"114","9~10","小葉菜類","有機白莧菜","合格","宜蘭縣","棉花田生機園地股份有限公司(宜蘭中山店)/宜蘭縣宜蘭市中山路三段88號"
"114","9~10","小葉菜類","有機皇宮菜","合格","宜蘭縣","聖德科斯生機食品-新宜蘭門市/宜蘭縣宜蘭市中山路三段127號1樓"
"114","9~10","小葉菜類","有機皇宮菜","合格","宜蘭縣","聖德科斯生機食品-新宜蘭門市/宜蘭縣宜蘭市中山路三段127號1樓"
"114","9~10","小葉菜類","有機紅莧","合格","宜蘭縣","聖德科斯生機食品-新宜蘭門市/宜蘭縣宜蘭市中山路三段127號1樓"
